TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZIC2	-1.323	0.9072	-1.993	0.346	0.882	0.9926
NCOR1	-2.407	0.992	-3.08	0.45	0.883	0.9927
WRNIP1	-1.151	0.8751	-3.303	0.369	0.884	0.993
TDRD3	-1.473	0.9296	-1.877	0.32	0.885	0.9931
KLF10	-1.753	0.9602	-1.933	0.391	0.885	0.9931
FOXG1	-1.348	0.9111	-1.994	0.342	0.886	0.9933
TAFII	-1.724	0.9577	-1.938	0.383	0.886	0.9934
ATOH1	-1.316	0.9059	-2.132	0.346	0.887	0.9935
DLX1	-1.317	0.9061	-2.127	0.346	0.888	0.9936
MRE11A	-1.522	0.936	-2.091	0.379	0.888	0.9937
ASCL2	-1.299	0.903	-2.189	0.349	0.888	0.9937
NELFA	-4.029	1	-1.855	0.417	0.89	0.994
HDAC6	-1.762	0.961	-2.258	0.407	0.891	0.9941
MEN1	-1.802	0.9642	-1.863	0.361	0.893	0.9945
ZNF131	-1.661	0.9517	-1.783	0.263	0.894	0.9946
NFAT5	-1.476	0.93	-1.957	0.32	0.894	0.9947
CASP8AP2	-1.497	0.9328	-1.941	0.315	0.894	0.9947
GMEB1	-1.712	0.9566	-1.744	0.221	0.897	0.9951
KDM3A	-1.645	0.95	-2.15	0.379	0.898	0.9952
MTA3	-2.371	0.9911	-2.96	0.433	0.898	0.9952
EPC1	-2.095	0.9819	-1.752	0.339	0.898	0.9953
NFYC	-1.541	0.9383	-1.951	0.305	0.898	0.9953
EMSY	-1.614	0.9468	-1.881	0.283	0.901	0.9956
HDAC4	-1.32	0.9066	-2.797	0.346	0.902	0.9957
FEV	-1.468	0.929	-2.06	0.321	0.902	0.9957
ARNT2	-1.428	0.9233	-2.156	0.329	0.903	0.9958
ZBTB10	-1.533	0.9374	-2.026	0.307	0.904	0.9961
ELF2	-1.723	0.9576	-1.807	0.196	0.904	0.9961
MXD3	-1.604	0.9457	-1.939	0.286	0.905	0.9961
NFATC1	-1.923	0.9727	-2.747	0.407	0.906	0.9963
HOXA1	-1.61	0.9463	-1.958	0.285	0.908	0.9965
TERF1	-1.59	0.9441	-1.997	0.291	0.909	0.9966
ZNF75A	-1.667	0.9523	-1.928	0.26	0.909	0.9966
SND1	-2.812	0.9975	-1.605	0.29	0.909	0.9966
SREBF1	-2.321	0.9899	-2.161	0.403	0.909	0.9967
NFKB1	-2.455	0.993	-2.469	0.414	0.912	0.997
STAT5	-2.967	0.9985	-2.008	0.403	0.913	0.997
ARID5B	-1.543	0.9385	-2.176	0.305	0.916	0.9973
DDX21	-1.889	0.9706	-1.988	0.344	0.916	0.9974
RBP2	-1.692	0.9547	-1.977	0.243	0.919	0.9976
HMGN1	-1.542	0.9385	-2.422	0.305	0.92	0.9977
ZNF597	-1.683	0.9538	-2.027	0.25	0.922	0.9979
GMEB2	-2.235	0.9873	-1.921	0.315	0.922	0.9979
BACH2	-2.93	0.9983	-1.851	0.344	0.923	0.998
MEF2C	-1.54	0.9382	-2.963	0.306	0.925	0.9981
SREBF2	-1.611	0.9464	-2.247	0.285	0.925	0.9981
KAT5	-2.306	0.9894	-2.038	0.361	0.925	0.9981
TERF2	-1.626	0.9481	-2.212	0.278	0.926	0.9982
CDK7	-2.558	0.9947	-2.821	0.4	0.93	0.9984
PAX5	-4.193	1	-2.396	0.402	0.934	0.9987
CD74	-2.979	0.9986	-1.796	0.227	0.935	0.9988
ELK4	-3.112	0.9991	-1.955	0.335	0.939	0.999
POU2F2	-2.377	0.9913	-3.111	0.37	0.943	0.9991
STAT5B	-3.917	1	-2.897	0.395	0.943	0.9992
NCOR2	-2.287	0.9889	-2.153	0.292	0.945	0.9993
TBX21	-2.662	0.9961	-2.15	0.33	0.947	0.9993
KDM5A	-3.361	0.9996	-1.953	0.264	0.95	0.9994
REL	-2.19	0.9857	-3.163	0.331	0.951	0.9995
SMAD5	-2.372	0.9912	-2.205	0.258	0.955	0.9996
ZBED1	-2.371	0.9911	-2.406	0.272	0.957	0.9996
FOXP3	-2.416	0.9922	-2.307	0.233	0.962	0.9997
GATA2	5.19	1.053e-7	2.774	0.67	0.01	4.115e-6
RELA	10.239	6.614000000000001e-25	2.43	0.763	0.013	9.753e-6
SPI1	10.174	1.289e-24	2.427	0.69	0.015	1.549e-5
FLI1	4.696	1.324e-6	3.229	0.609	0.018	2.459e-5
TEAD1	3.682	1.157e-4	2.559	0.61	0.027	9.176e-5
LYL1	4.12	1.896e-5	2.397	0.621	0.029	1.153e-4
LMO2	3.616	1.498e-4	2.527	0.61	0.03	1.195e-4
ETV6	2.773	0.002779	2.588	0.636	0.031	1.377e-4
FOXO1	2.864	0.002092	2.555	0.622	0.034	1.736e-4
EP300	7.131	4.969e-13	2.126	0.722	0.034	1.792e-4
IRF4	3.692	1.114e-4	2.682	0.578	0.038	2.49e-4
STAT3	4.907	4.628e-7	2.635	0.572	0.039	2.633e-4
RELB	2.782	0.002698	2.741	0.588	0.043	3.612e-4
TEAD4	3.461	2.693e-4	2.371	0.599	0.045	3.986e-4
VDR	4.205	1.307e-5	2.813	0.564	0.046	4.282e-4
IRF1	3.696	1.096e-4	2.062	0.712	0.046	4.282e-4
RUNX1	6.76	6.908e-12	2.201	0.591	0.047	4.699e-4
EBNA3C	2.711	0.003354	2.256	0.642	0.048	4.918e-4
MEF2B	3.862	5.635e-5	2.241	0.589	0.049	5.375e-4
YAP1	3.607	1.547e-4	2.219	0.595	0.051	5.985e-4
JUND	3.067	0.001082	2.11	0.647	0.051	6.113e-4
STAT4	1.718	0.04289	2.624	0.615	0.052	6.242e-4
NFKB1	2.669	0.003799	2.413	0.594	0.052	6.373e-4
JUN	5.38	3.721e-8	2.002	0.619	0.052	6.373e-4
BCL6	3.457	2.728e-4	2.214	0.601	0.052	6.373e-4
TCF7L1	3.529	2.088e-4	2.808	0.56	0.053	6.64e-4
GATA4	3.444	2.869e-4	2.5	0.571	0.053	6.777e-4
TBX21	2.796	0.002588	2.295	0.595	0.055	7.635e-4
MYB	4.227	1.182e-5	2.213	0.58	0.056	7.784e-4
DUX4	2.213	0.01345	2.881	0.574	0.056	8.09e-4
RUNX1T1	3.347	4.084e-4	2.235	0.586	0.058	8.562e-4
BATF	2.904	0.001844	2.308	0.584	0.058	8.724e-4
TP53	5.274	6.66e-8	2.001	0.603	0.059	9.053e-4
PROX1	2.335	0.009762	2.161	0.633	0.059	9.053e-4
SND1	2.807	0.002497	2.385	0.578	0.06	9.562e-4
SMARCC1	3.52	2.154e-4	2.073	0.6	0.06	9.912e-4
PRMT1	2.254	0.01209	2.473	0.579	0.062	0.001064
FOS	2.983	0.001425	2.021	0.632	0.062	0.001082
IKZF1	3.443	2.877e-4	1.942	0.643	0.063	0.001101
CEBPB	7.701	6.748e-15	1.869	0.606	0.063	0.00114
BACH2	2.793	0.002611	2.071	0.619	0.063	0.00114
SPIB	2.676	0.00373	2.694	0.558	0.066	0.001302
SMARCA2	2.023	0.02152	2.621	0.571	0.066	0.001302
MEIS1	2.748	0.003001	2.577	0.561	0.067	0.001345
FOSL1	3.032	0.001215	1.928	0.625	0.07	0.001526
TCF12	2.954	0.001569	3.036	0.543	0.07	0.00155
STAT1	3.509	2.248e-4	2.129	0.572	0.07	0.001574
HNF1B	1.702	0.04433	2.25	0.61	0.07	0.001574
FOXA2	4.268	9.867e-6	2.252	0.551	0.071	0.001623
PAX5	4.123	1.873e-5	2.475	0.538	0.073	0.001775
JMJD1C	2.812	0.002459	2.219	0.571	0.074	0.001827
TAL1	3.015	0.001285	1.874	0.605	0.079	0.002226
STAG1	8.578	4.821e-18	2.102	0.545	0.082	0.002478
ELF3	2.181	0.0146	2.517	0.549	0.082	0.00251
GATA3	3.483	2.481e-4	1.987	0.571	0.083	0.002543
HMG20A	1.712	0.0434	2.006	0.626	0.083	0.00261
TP63	6.85	3.698e-12	2.082	0.546	0.084	0.002678
FUS	2.196	0.01404	2.387	0.558	0.084	0.002678
SMAD1	2.112	0.01733	2.21	0.572	0.084	0.002713
NFKB2	2.152	0.01571	2.515	0.548	0.084	0.002713
BATF3	1.722	0.04249	1.941	0.649	0.086	0.002818
ZNF384	1.796	0.03628	2.31	0.568	0.087	0.002926
WWTR1	2.316	0.01028	2.048	0.576	0.088	0.003112
EBNA3	1.7	0.04454	2.012	0.608	0.089	0.003188
TCF4	2.233	0.01278	2.126	0.57	0.09	0.003266
TRIM22	2.274	0.01149	2.163	0.564	0.091	0.003345
ZNF597	1.667	0.04777	2.13	0.586	0.091	0.003345
CD74	2.28	0.0113	1.563	0.655	0.095	0.00389
EBNA2	1.609	0.0538	2.394	0.564	0.096	0.004024
TEAD1-TEAD4	1.613	0.05338	2.332	0.565	0.097	0.00416
GATA6	3.098	9.731e-4	2.35	0.528	0.098	0.0043
HOXA9	1.757	0.03944	2.37	0.549	0.098	0.0043
FOSL2	8.436	1.644e-17	1.717	0.563	0.099	0.004395
BANF1	2.471	0.006734	2.222	0.543	0.1	0.004491
EED	1.825	0.03397	2.072	0.567	0.103	0.00489
PGBD3	1.649	0.04953	2.047	0.578	0.104	0.004993
DAXX	1.97	0.02443	2.557	0.529	0.104	0.005098
EWSR1	1.535	0.0624	2.454	0.547	0.105	0.005151
CBX5	1.683	0.04619	2.8	0.531	0.105	0.005151
SKI	1.682	0.04628	1.892	0.591	0.105	0.005204
GRIP1	1.851	0.03209	1.852	0.58	0.106	0.005421
RUNX3	1.552	0.06032	2.372	0.551	0.107	0.005476
TERF1	1.593	0.05559	2.239	0.56	0.107	0.005476
RXRG	3.034	0.001208	1.813	0.562	0.107	0.005588
ZBTB16	1.443	0.07451	1.848	0.616	0.114	0.006659
PCGF2	2.081	0.0187	2.009	0.549	0.114	0.006722
STAT5A	1.617	0.05295	1.803	0.591	0.114	0.006722
FOXP1	1.461	0.07196	1.895	0.6	0.115	0.006914
MBD3	2.024	0.02147	1.482	0.606	0.116	0.007044
NCOR2	1.997	0.0229	1.859	0.566	0.116	0.00711
SMC1A	5.699	6.019e-9	1.656	0.544	0.117	0.007242
NKX2-1	2.26	0.01192	2.565	0.506	0.118	0.007309
MED12	1.757	0.03946	1.716	0.583	0.118	0.007309
ERCC6	1.62	0.05264	2.874	0.515	0.119	0.007581
PRDM1	2.062	0.01962	2.16	0.53	0.122	0.008216
HNF1A	1.643	0.05021	1.734	0.58	0.123	0.008362
CTCF	21.431	3.4349999999999995e-102	1.688	0.532	0.124	0.008584
RAD21	6.497	4.094e-11	1.584	0.539	0.124	0.008659
RXRA	2.599	0.004673	1.623	0.565	0.125	0.008734
CEBPA	1.806	0.03543	1.297	0.618	0.127	0.009195
TERF2	1.522	0.06399	2.136	0.545	0.127	0.009195
HOXB13	2.573	0.005047	2.053	0.526	0.127	0.009273
ZBED1	2.079	0.0188	1.933	0.543	0.128	0.009511
NUP98-HOXA9	1.478	0.06968	2.247	0.538	0.131	0.01008
PSIP1	1.497	0.06714	2.432	0.525	0.131	0.01016
TCF21	2.755	0.002938	1.822	0.537	0.131	0.01016
STAT5B	2.73	0.003164	1.5	0.562	0.132	0.01025
MEF2A	1.509	0.06561	1.969	0.558	0.132	0.01025
PRMT5	1.62	0.05258	1.769	0.567	0.132	0.01033
TLX1	1.469	0.07091	2.259	0.537	0.132	0.01042
PBX3	1.504	0.06626	2.327	0.529	0.133	0.0105
TP73	1.759	0.03932	2.141	0.524	0.135	0.01111
MAFK	1.655	0.04893	2.212	0.525	0.136	0.0112
EPAS1	1.521	0.06416	2.044	0.545	0.136	0.0112
EBF1	1.684	0.04611	1.481	0.579	0.136	0.01129
SNAI2	3.568	1.797e-4	1.972	0.506	0.136	0.01129
STAT5	1.693	0.04522	1.655	0.567	0.137	0.01156
NR3C1	3.33	4.34e-4	1.365	0.554	0.138	0.01174
SMC3	5.068	2.008e-7	1.444	0.535	0.14	0.0124
TTF1	1.586	0.05637	2.541	0.502	0.141	0.01269
NFIC	1.26	0.1037	1.851	0.568	0.143	0.01318
ARID1A	1.694	0.0451	2.428	0.496	0.143	0.01318
MEF2C	1.514	0.06498	1.91	0.544	0.146	0.01409
PML	1.789	0.03681	1.071	0.581	0.151	0.01538
POU2F2	1.643	0.05021	1.797	0.54	0.151	0.01549
SMARCA4	1.958	0.02509	0.945	0.59	0.153	0.01616
LHX2	0.791	0.2145	1.657	0.593	0.158	0.01781
KMT2B	1.393	0.08181	2.054	0.524	0.159	0.01817
CDX2	1.531	0.0629	2.088	0.505	0.166	0.02075
LMNA	1.356	0.08754	2.377	0.494	0.168	0.02143
DACOR1	1.024	0.1529	2.689	0.494	0.168	0.02143
HIRA	1.666	0.04789	1.956	0.506	0.169	0.02156
ZIM3	1.305	0.09599	2.278	0.496	0.169	0.02184
SUMO1	3.379	3.643e-4	1.453	0.509	0.17	0.02212
ZBTB2	1.571	0.05814	1.892	0.512	0.172	0.02283
ZNF22	1.034	0.1505	2.437	0.495	0.173	0.02326
JUNB	0.883	0.1886	1.054	0.652	0.174	0.02355
SOX11	1.092	0.1375	2.41	0.494	0.174	0.02355
KMT2A	2.427	0.007611	0.869	0.549	0.176	0.02444
ZNF512	1.525	0.06362	2.001	0.498	0.179	0.02582
KDM1A	0.974	0.1651	1.377	0.571	0.18	0.02613
HOTAIR	1.562	0.05914	2.143	0.486	0.181	0.0266
HDAC4	1.333	0.09119	1.798	0.516	0.185	0.02839
SMAD3	1.037	0.1498	0.95	0.59	0.185	0.02855
TCF7L2	1.114	0.1326	1.664	0.533	0.187	0.02922
RING1	1.314	0.0945	1.845	0.511	0.187	0.02956
REPIN1	0.993	0.1603	1.827	0.526	0.188	0.0299
GRHL3	1.477	0.06982	1.533	0.526	0.188	0.03008
JARID2	3.782	7.78e-5	0.822	0.521	0.189	0.03042
ZNF92	1.068	0.1427	2.085	0.497	0.189	0.0306
CHAT	1.191	0.1168	2.298	0.485	0.19	0.03077
DMC1	0.988	0.1615	2.298	0.492	0.19	0.03095
NME2	1.23	0.1093	2.143	0.491	0.191	0.03112
CREBBP	0.887	0.1876	1.257	0.57	0.192	0.03165
HES2	3.823	6.587e-5	1.094	0.496	0.194	0.03273
MAF	1.201	0.1148	2.159	0.487	0.195	0.03328
TSC22D4	0.255	0.3993	1.475	0.625	0.197	0.03421
SATB1	0.722	0.2352	2.399	0.491	0.2	0.03612
ZNF654	1.617	0.05294	1.511	0.502	0.2	0.03612
NANOG	1.934	0.02654	1.507	0.494	0.201	0.03651
DEK	1.281	0.1001	1.76	0.5	0.204	0.03831
BRD4	2.611	0.004508	-0.515	0.611	0.206	0.03933
ZNF317	1.04	0.1492	2.217	0.481	0.206	0.03933
BRD9	1.279	0.1005	1.422	0.521	0.208	0.04079
OTX2	0.738	0.2303	1.166	0.565	0.208	0.04079
ZMYM3	0.843	0.1995	0.802	0.58	0.209	0.041
ZNF750	0.918	0.1792	2.107	0.488	0.209	0.04121
MAML3	1.439	0.0751	1.946	0.483	0.21	0.04164
POLR3D	1.502	0.06651	1.571	0.495	0.211	0.04206
KDM1B	0.787	0.2155	2.383	0.48	0.211	0.04228
KDM6B	1.356	0.08752	1.367	0.513	0.212	0.04293
ZFP57	1.377	0.08426	1.746	0.492	0.212	0.04293
ZNF783	1.576	0.05751	0.412	0.556	0.212	0.04315
LMO1	1.055	0.1458	1.787	0.496	0.213	0.04337
MYOG	1.034	0.1505	1.965	0.487	0.213	0.04359
EHF	0.987	0.1619	0.954	0.554	0.214	0.04381
ZNF808	0.704	0.2406	2.585	0.475	0.215	0.0447
ATF2	0.63	0.2642	1.067	0.569	0.216	0.04538
ERG	1.137	0.1277	0.34	0.576	0.217	0.04629
CDK8	1.972	0.0243	0.265	0.538	0.22	0.04792
KDM2B	3.252	5.725e-4	-0.183	0.542	0.22	0.04815
SOX2	0.779	0.218	1.225	0.542	0.221	0.04839
PRKDC	0.979	0.1638	1.235	0.526	0.224	0.0503
E2F7	1.5	0.06677	0.937	0.523	0.224	0.0503
BHLHE40	0.965	0.1672	0.888	0.547	0.224	0.05079
MYOD1	0.992	0.1607	1.448	0.51	0.225	0.05103
DRAP1	1.21	0.1132	1.371	0.506	0.225	0.05103
EZH2	2.373	0.008816	0.395	0.517	0.225	0.05128
KDM6A	0.984	0.1625	1.799	0.491	0.225	0.05128
ESCO2	1.085	0.139	1.495	0.498	0.226	0.05227
DPPA2	0.829	0.2035	2.026	0.482	0.229	0.05403
NR1H3	1.537	0.0622	1.493	0.483	0.231	0.05531
NIPBL	0.737	0.2307	0.229	0.601	0.231	0.05557
SIRT1	1.051	0.1467	1.733	0.486	0.231	0.05557
TOP1	1.379	0.08395	1.234	0.497	0.233	0.05714
PAX3	0.824	0.2049	1.961	0.482	0.234	0.05794
MLLT3	1.017	0.1547	1.507	0.494	0.235	0.05847
SRCAP	0.696	0.2432	2.221	0.474	0.236	0.05901
TRIM28	0.443	0.3288	1.781	0.51	0.236	0.05928
PHOX2B	0.758	0.2241	2.027	0.478	0.236	0.05928
EOMES	1.133	0.1286	1.711	0.479	0.241	0.06287
IRF5	0.725	0.2343	2.023	0.476	0.242	0.06372
HDAC3	0.386	0.3497	1.365	0.535	0.244	0.06515
SMARCB1	1.218	0.1117	0.541	0.531	0.244	0.06544
GATA1	1.297	0.09736	1.203	0.493	0.246	0.0666
MTA2	0.377	0.353	0.545	0.583	0.247	0.06808
TBX5	1.1	0.1356	1.734	0.473	0.248	0.06897
MYH11	1.481	0.06925	0.515	0.513	0.249	0.06957
MCM2	0.717	0.2365	1.95	0.476	0.25	0.07017
CBFB	1.796	0.03628	0.232	0.509	0.25	0.07048
HNF4A	1.389	0.08246	1.089	0.49	0.251	0.07078
WRNIP1	0.999	0.159	1.307	0.492	0.252	0.07201
PGR	0.851	0.1973	1.538	0.483	0.254	0.07387
DLX2	0.838	0.2009	1.583	0.483	0.255	0.0745
H2AZ	3.052	0.001135	-1.072	0.557	0.255	0.07482
POU5F1	0.963	0.1678	0.924	0.51	0.255	0.07482
MKL2	1.491	0.06804	0.799	0.495	0.255	0.07482
SMAD2-SMAD3	0.44	0.3301	0.733	0.557	0.255	0.07482
ZNF136	0.488	0.3126	2.405	0.462	0.256	0.07577
LIN9	0.834	0.2021	1.524	0.483	0.259	0.07802
FANCD2	0.662	0.2539	1.941	0.473	0.261	0.07966
CHRM2	0.725	0.2342	0.648	0.533	0.262	0.08065
LMNB1	0.714	0.2376	1.776	0.475	0.262	0.08099
RNF2	1.012	0.1559	0.494	0.518	0.263	0.08233
MAFF	0.703	0.2411	1.902	0.469	0.265	0.08402
CDK2	0.604	0.273	1.733	0.478	0.268	0.08678
NFE2L2	0.615	0.2692	0.567	0.535	0.269	0.08713
ZNF490	0.526	0.2994	2.052	0.464	0.273	0.0914
SRF	1.221	0.1111	0.249	0.507	0.275	0.09395
ZNF680	0.393	0.3473	1.731	0.481	0.278	0.09693
ZNF485	0.564	0.2862	1.863	0.466	0.278	0.09693
TLE3	0.591	0.2774	1.664	0.474	0.279	0.0973
TARDBP	0.631	0.2639	0.01	0.548	0.28	0.0992
RCOR1	0.338	0.3676	0.843	0.529	0.281	0.09996
ZNF486	0.361	0.3592	2.122	0.464	0.281	0.09996
CEBPD	0.307	0.3794	0.233	0.565	0.281	0.09996
NR2F2	0.592	0.2768	0.822	0.508	0.282	0.1007
TAT	0.745	0.2282	1.329	0.477	0.283	0.1015
HLF	0.726	0.234	1.693	0.464	0.286	0.105
CBX2	0.89	0.1867	0.861	0.486	0.288	0.107
ZNF284	0.477	0.3168	1.952	0.461	0.289	0.1086
CTNNB1	0.693	0.2441	1.437	0.474	0.29	0.1095
CHD4	1.228	0.1097	0.29	0.492	0.29	0.1099
LDB1	0.579	0.2812	1.627	0.467	0.291	0.1111
ETS1	1.025	0.1526	-0.536	0.542	0.294	0.114
NR1H2	1.132	0.1289	1.018	0.468	0.294	0.1144
ZNF133	0.449	0.3268	1.918	0.459	0.295	0.1153
ETV4	0.257	0.3985	0.257	0.546	0.295	0.1153
MITF	0.295	0.3841	1.146	0.498	0.295	0.1157
BCOR	0.934	0.1753	0.234	0.499	0.295	0.1161
CTCFL	1.269	0.1022	0.379	0.484	0.295	0.1161
SMARCE1	0.381	0.3517	1.261	0.486	0.296	0.1165
REL	0.753	0.2257	-0.174	0.527	0.298	0.1191
SUMO2	-0.194	0.5768	1.249	0.532	0.299	0.1204
GLI2	0.503	0.3074	-0.684	0.588	0.299	0.1208
PRDM6	0.71	0.2388	1.11	0.475	0.3	0.1213
MAFG	0.627	0.2653	1.658	0.459	0.301	0.123
CDK9	1.296	0.09753	-0.653	0.531	0.302	0.1243
NR4A1	0.111	0.4559	0.536	0.543	0.303	0.1252
PMEL	0.211	0.4163	-0.243	0.573	0.304	0.1266
ING5	0.448	0.3272	1.768	0.459	0.305	0.1279
ERCC3	0.478	0.3165	1.7	0.461	0.306	0.1284
CBX3	-0.097	0.5387	1.466	0.5	0.306	0.1288
FOXH1	0.511	0.3047	1.359	0.472	0.306	0.1288
BCL11A	-0.032	0.5128	0.136	0.575	0.307	0.1297
BIRA	0.215	0.415	1.302	0.487	0.307	0.1297
ERCC2	0.368	0.3564	1.955	0.456	0.309	0.1325
DDX5	0.111	0.4557	0.843	0.522	0.309	0.133
BCLAF1	0.283	0.3884	-0.133	0.547	0.31	0.1339
SS18	0.542	0.2938	0.557	0.493	0.312	0.1367
BMI1	0.396	0.346	0.724	0.495	0.312	0.1372
BRD7	0.775	0.2191	0.671	0.479	0.313	0.1386
FXR2	0.538	0.2955	1.37	0.465	0.314	0.1396
ZNF781	0.206	0.4183	1.594	0.47	0.316	0.1425
ZNF793	0.469	0.3195	1.536	0.459	0.316	0.1425
KDM3B	0.871	0.1919	0.566	0.475	0.318	0.1444
ZFAT	0.544	0.2934	1.274	0.465	0.318	0.1454
ZNF75D	0.39	0.3484	1.754	0.456	0.319	0.1464
FOXP3	0.913	0.1807	0.39	0.477	0.32	0.1469
HOXC9	0.537	0.2956	1.476	0.458	0.321	0.1489
MGEA5	0.709	0.2391	0.731	0.475	0.321	0.1494
ZNF519	0.871	0.1919	0.179	0.485	0.321	0.1494
CCND2	0.79	0.2149	0.386	0.48	0.321	0.1494
SSU72	0.591	0.2773	1.038	0.468	0.322	0.1504
ZNF440	0.319	0.3748	1.852	0.453	0.322	0.1509
PRDM14	0.549	0.2914	1.169	0.465	0.322	0.1509
TAZ	0.598	0.2748	0.967	0.468	0.323	0.1514
EBF3	0.349	0.3635	1.309	0.468	0.323	0.1519
ATF3	0.14	0.4445	0.035	0.541	0.325	0.1544
ERF	0.52	0.3014	1.442	0.458	0.325	0.1549
DNMT3A	0.286	0.3874	0.233	0.512	0.325	0.1549
GRHL2	-0.154	0.561	0.946	0.513	0.326	0.156
CNOT3	0.747	0.2276	0.368	0.479	0.326	0.156
TET2	0.251	0.4007	0.433	0.505	0.326	0.1565
ZNF202	0.535	0.2962	0.911	0.472	0.327	0.158
PBX1	-0.134	0.5533	0.714	0.525	0.327	0.158
SCRT1	0.135	0.4462	0.913	0.491	0.334	0.1671
TCF7	-0.048	0.5192	0.672	0.512	0.334	0.1681
PHF6	0.925	0.1774	-0.256	0.488	0.334	0.1681
ICE1	0.773	0.2199	0.605	0.466	0.335	0.1698
CEBPG	0.309	0.3785	1.159	0.466	0.337	0.1725
PHIP	1.48	0.0694	-0.921	0.495	0.337	0.1725
SSRP1	0.124	0.4509	1.406	0.469	0.338	0.1731
ZNF675	0.266	0.3952	1.767	0.451	0.338	0.1736
AR	-0.526	0.7007	1.233	0.522	0.34	0.1775
ARID3A	0.583	0.2801	0.961	0.459	0.343	0.1821
CDCA2	0.379	0.3522	1.281	0.456	0.347	0.1872
ZNF766	0.297	0.383	1.046	0.465	0.347	0.1878
ZEB1	0.335	0.3688	-0.612	0.534	0.348	0.1896
SMAD2	0.37	0.3557	1.062	0.46	0.349	0.1919
ZNF282	0.948	0.1716	-0.199	0.474	0.351	0.1943
ETV5	0.196	0.4221	0.447	0.486	0.351	0.1943
TERC	0.525	0.2998	1.179	0.452	0.352	0.1955
CDK7	0.681	0.2481	-0.651	0.507	0.352	0.1967
ZNF823	0.246	0.4029	1.535	0.45	0.353	0.1984
USF1	0.55	0.2913	0.136	0.476	0.354	0.199
ZNF84	0.297	0.3832	1.44	0.452	0.354	0.1997
CRY1	0.191	0.4241	1.74	0.447	0.354	0.1997
ZNF445	0.317	0.3756	1.341	0.453	0.354	0.2003
ZNF697	-0.196	0.5779	0.898	0.494	0.355	0.2009
SMAD4	-0.154	0.5613	0.168	0.525	0.355	0.2009
HMBOX1	0.374	0.354	1.153	0.456	0.356	0.2021
ZNF382	0.299	0.3824	1.234	0.454	0.36	0.2094
TBL1XR1	-0.016	0.5065	-0.426	0.541	0.36	0.2094
NKX3-1	0.212	0.4159	1.393	0.452	0.361	0.2119
JMJD6	0.73	0.2328	-0.636	0.492	0.361	0.2119
CUX1	-0.892	0.8137	-0.001	0.615	0.364	0.2163
SUZ12	0.198	0.4217	-0.31	0.508	0.365	0.2188
ZNF479	0.367	0.3568	0.962	0.455	0.366	0.2201
NCOR1	0.006	0.4975	-0.57	0.54	0.367	0.2213
PDX1	0.281	0.3895	1.155	0.453	0.368	0.2245
RBL1	0.405	0.3426	0.757	0.458	0.369	0.2252
BRDU	-0.263	0.6036	1.316	0.469	0.371	0.2284
NFE2L1	0.012	0.4951	0.933	0.466	0.374	0.2342
ZNF362	0.43	0.3336	0.754	0.454	0.374	0.2349
PIAS1	0.123	0.4512	1.317	0.452	0.375	0.2362
KLF16	0.326	0.3723	0.725	0.458	0.377	0.2408
SIX2	0.12	0.4523	1.09	0.456	0.379	0.2435
RAG2	0.692	0.2444	-0.421	0.474	0.381	0.2482
ZNF26	0.117	0.4535	1.461	0.443	0.384	0.2536
ZBTB14	0.719	0.2361	-0.67	0.476	0.386	0.2577
GTF2I	0.159	0.4368	0.552	0.463	0.388	0.2597
ZNF506	0.176	0.43	1.196	0.446	0.388	0.2597
ZNF182	0.258	0.3984	0.88	0.45	0.389	0.2618
NCAPH2	0.868	0.1926	-0.734	0.47	0.39	0.2652
RARA	-0.608	0.7284	-0.198	0.543	0.392	0.2687
HIF1A	-0.07	0.5279	0.692	0.466	0.393	0.2694
ZNF534	0.398	0.3452	0.222	0.457	0.394	0.2715
PARP1	0.029	0.4885	1.499	0.439	0.394	0.2722
FAIRE	-0.781	0.7827	-0.361	0.569	0.396	0.2757
NR2F6	0.181	0.4282	0.823	0.452	0.397	0.2778
BAHD1	-0.2	0.5791	1.525	0.446	0.398	0.2792
ZNF468	0.488	0.3129	-0.224	0.462	0.399	0.2828
ATF4	-0.43	0.6664	0.745	0.481	0.4	0.2842
NFATC1	-0.353	0.6381	-1.313	0.576	0.4	0.2849
ZNF100	0.198	0.4214	-0.582	0.488	0.401	0.2856
ZNF248	-0.025	0.5098	1.503	0.437	0.402	0.2878
RUNX2	-0.043	0.517	0.797	0.458	0.402	0.2878
ZNF141	0.194	0.4232	0.871	0.447	0.402	0.2878
ZNF280A	-0.006	0.5023	1.455	0.438	0.403	0.2892
ZNF425	0.227	0.4103	0.677	0.449	0.403	0.2899
INTS12	0.524	0.3	-0.382	0.464	0.403	0.2899
PCGF1	0.704	0.2409	-0.905	0.472	0.404	0.2913
TFAP4	0.075	0.4702	0.038	0.472	0.404	0.2928
AFF1	0.147	0.4414	-0.344	0.48	0.405	0.2935
MAX	0.168	0.4333	-1.457	0.528	0.405	0.2942
NFE2	-0.135	0.5537	-0.028	0.482	0.407	0.2971
HOXA2	0.434	0.332	-0.226	0.459	0.407	0.2978
FOXP2	0.381	0.3514	-0.286	0.462	0.409	0.3022
NOTCH3	-0.095	0.538	1.561	0.433	0.41	0.3037
SFPQ	-0.088	0.5351	1.503	0.433	0.412	0.3088
