TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
NFYC	MA1644.1	-1.04513	0.852303	0.810738	0.817713	0.0625756	93
NEUROD2	MA0668.1	-1.05967	0.85561	0.84574	0.849938	0.0353266	93
SOHLH2	MA1560.1	-1.08049	0.860287	0.795698	0.802357	0.0542293	93
ZNF449	MA1656.1	-1.08146	0.860543	0.795408	0.800995	0.0489563	93
TFE3	MA0831.2	-1.0829	0.860847	0.845878	0.852278	0.0543681	93
SOX13	MA1120.1	-1.09028	0.862503	0.821938	0.829006	0.0623733	93
PROX1	MA0794.1	-1.10545	0.86576	0.753819	0.758873	0.0396787	93
Spz1	MA0111.1	-1.11043	0.866937	0.862932	0.866532	0.033621	93
TBX21	MA0690.1	-1.1349	0.872083	0.793695	0.799524	0.0491199	93
HNF4A	MA0114.4	-1.141	0.87327	0.773515	0.77989	0.044669	93
MLX	MA0663.1	-1.14344	0.873779	0.766584	0.77323	0.0468775	93
EGR3	MA0732.1	-1.15525	0.876283	0.77314	0.780667	0.0609403	93
TBX20	MA0689.1	-1.15595	0.876423	0.794605	0.800256	0.0454822	93
CREB3L1	MA0839.1	-1.16161	0.877626	0.731887	0.73715	0.0458932	93
Arnt	MA0004.1	-1.18828	0.882873	0.852826	0.86117	0.0606408	93
ESRRA	MA0592.3	-1.19388	0.884	0.769527	0.776198	0.0511383	93
NKX6-3	MA1530.1	-1.20183	0.885593	0.846832	0.854417	0.0627833	93
ZNF354C	MA0130.1	-1.20538	0.886307	0.957648	0.962358	0.0405937	93
TFEB	MA0692.1	-1.20953	0.887029	0.814979	0.821723	0.0508199	93
OLIG2	MA0678.1	-1.21897	0.888834	0.786628	0.793193	0.0494973	93
BHLHE41	MA0636.1	-1.22337	0.889605	0.768278	0.775543	0.0476455	93
NR5A1	MA1540.1	-1.23208	0.891325	0.839503	0.845569	0.0472903	93
THRB(var.3)	MA1576.1	-1.23216	0.891365	0.73338	0.738049	0.0380287	93
RFX7	MA1554.1	-1.24577	0.893775	0.8796	0.884452	0.0312948	93
ZBTB33	MA0527.1	-1.24799	0.894184	0.76564	0.772676	0.045764	93
ZNF143	MA0088.2	-1.25038	0.894765	0.74094	0.746474	0.0470696	93
EGR4	MA0733.1	-1.26803	0.897888	0.773558	0.780201	0.050543	93
TFAP2C(var.2)	MA0814.2	-1.31214	0.905519	0.817255	0.825276	0.0567563	93
Ahr::Arnt	MA0006.1	-1.32372	0.90747	0.904539	0.913397	0.0639075	93
GATA5	MA0766.2	-1.33507	0.909358	0.838484	0.846353	0.058231	93
HEY2	MA0649.1	-1.33969	0.910074	0.807016	0.814695	0.0526169	93
OLIG3	MA0827.1	-1.35365	0.912327	0.81248	0.819075	0.0453701	93
HES1	MA1099.2	-1.38704	0.917525	0.842918	0.85239	0.0627389	93
NR2C1	MA1535.1	-1.39353	0.918536	0.902135	0.9102	0.0562377	93
TBX2	MA0688.1	-1.40077	0.919593	0.812834	0.819378	0.0426963	93
BHLHE40	MA0464.2	-1.4372	0.924861	0.80066	0.809721	0.052857	93
MYCN	MA0104.4	-1.45889	0.927922	0.779411	0.788166	0.0543499	93
FOXH1	MA0479.1	-1.46556	0.928889	0.811459	0.8201	0.0596517	93
ZBTB7B	MA0694.1	-1.46621	0.928946	0.78898	0.796231	0.0470558	93
ARNT2	MA1464.1	-1.48187	0.930991	0.794331	0.803892	0.053079	93
Npas2	MA0626.1	-1.48627	0.931607	0.831774	0.840522	0.0527714	93
NKX2-2	MA1645.1	-1.49336	0.932494	0.805599	0.813013	0.0394262	93
USF1	MA0093.3	-1.50197	0.933651	0.76361	0.771984	0.0492262	93
HOXA9	MA0594.2	-1.50432	0.933966	0.851937	0.859193	0.0439805	93
TCFL5	MA0632.2	-1.51395	0.935147	0.825344	0.835763	0.0551971	93
PAX5	MA0014.3	-1.52133	0.936153	0.805354	0.813171	0.0499749	93
MNT	MA0825.1	-1.57046	0.942033	0.825543	0.83503	0.0528201	93
CLOCK	MA0819.1	-1.57848	0.942964	0.800659	0.808379	0.0434391	93
NR2C2(var.2)	MA1536.1	-1.58039	0.943241	0.941162	0.947009	0.0376447	93
Creb3l2	MA0608.1	-1.60312	0.945749	0.822135	0.831136	0.0518909	93
GLI3	MA1491.1	-1.62516	0.948132	0.775185	0.782675	0.0424051	93
Pax2	MA0067.1	-1.63262	0.948949	0.919927	0.926513	0.0397475	93
USF2	MA0526.3	-1.6363	0.949297	0.762337	0.771632	0.0510518	93
RARA::RXRA	MA0159.1	-1.63925	0.949647	0.791749	0.797519	0.0351478	93
HES2	MA0616.2	-1.64057	0.949751	0.796224	0.807232	0.0618571	93
Nkx3-2	MA0122.3	-1.65115	0.950832	0.765269	0.775699	0.0572695	93
MAX	MA0058.3	-1.65126	0.950832	0.813139	0.823549	0.0553376	93
HEY1	MA0823.1	-1.66655	0.952384	0.795031	0.805772	0.0589241	93
ZBTB7C	MA0695.1	-1.67215	0.952967	0.814516	0.822194	0.0453122	93
RFX5	MA0510.2	-1.69082	0.954657	0.701989	0.710932	0.0344019	93
NR2F6(var.3)	MA1539.1	-1.69194	0.95478	0.714414	0.722049	0.0319316	93
GLI2	MA0734.2	-1.74324	0.959513	0.756529	0.764694	0.0413236	93
RBPJ	MA1116.1	-1.79145	0.963532	0.876585	0.888201	0.0558529	93
RFX2	MA0600.2	-1.81361	0.965212	0.707089	0.716721	0.034787	93
Esrrg	MA0643.1	-1.8299	0.966535	0.808103	0.81775	0.0504268	93
ZNF410	MA0752.1	-1.83473	0.966854	0.669747	0.678758	0.0409512	93
NR2F1(var.3)	MA1538.1	-1.84613	0.96767	0.728576	0.736735	0.0339079	93
NKX2-3	MA0672.1	-1.8608	0.968779	0.853746	0.862678	0.0465454	93
HES6	MA1493.1	-1.88669	0.970564	0.792413	0.801229	0.0460797	93
NFYB	MA0502.2	-1.91286	0.972248	0.791756	0.803189	0.0533971	93
ZNF382	MA1594.1	-1.93919	0.973866	0.673742	0.680435	0.0281583	93
EGR2	MA0472.2	-2.0214	0.978494	0.796599	0.808129	0.0513436	93
MAX::MYC	MA0059.1	-2.30204	0.9894	0.785791	0.797632	0.0448089	93
NR1H4::RXRA	MA1146.1	-2.33127	0.990186	0.748825	0.757709	0.0313832	93
RFX4	MA0799.1	-2.36803	0.991092	0.754182	0.7656	0.0315588	93
RFX1	MA0509.2	-2.43076	0.992505	0.760631	0.773599	0.0402319	93
ZFP42	MA1651.1	-2.4815	0.993514	0.719541	0.732999	0.0518098	93
RFX3	MA0798.2	-2.54128	0.994505	0.759701	0.773022	0.0376006	93
YY1	MA0095.2	-2.65452	0.996062	0.780354	0.796807	0.0552715	93
Nkx3-1	MA0124.2	-2.89151	0.998104	0.816388	0.832362	0.0519271	93
NR4A2::RXRA	MA1147.1	-2.95566	0.998452	0.762207	0.773537	0.029485	93
YY2	MA0748.2	-3.1288	0.999132	0.801628	0.821895	0.0560419	93

Degrees of freedom: 37474
